id,genre_id,movie_id
1,7,278
2,5,278
3,7,238
4,5,238
5,7,424
6,10,424
7,18,424
8,14,372058
9,3,372058
10,7,372058
11,3,129
12,8,129
13,9,129
14,4,496243
15,17,496243
16,7,496243
17,9,497
18,7,497
19,5,497
20,17,680
21,5,680
22,1,122
23,2,122
24,9,122
25,4,637
26,7,637
27,4,13
28,7,13
29,14,13
30,7,311
31,5,311
32,7,155
33,1,155
34,5,155
35,17,155
36,7,11216
37,14,11216
38,7,598
39,5,598
40,7,550
41,1,324857
42,2,324857
43,3,324857
44,15,324857
45,4,324857
46,9,4935
47,3,4935
48,2,4935
49,4,914
50,7,244786
51,12,244786
52,2,1891
53,1,1891
54,15,1891
55,7,73
56,7,423
57,18,423
58,3,378064
59,7,378064
60,14,378064
61,17,567
62,13,567
63,7,567
64,2,128
65,9,128
66,3,128
67,2,120
68,9,120
69,1,120
70,1,27205
71,15,27205
72,2,27205
73,4,3082
74,7,3082
75,7,527641
76,14,527641
77,5,807
78,13,807
79,17,807
80,1,121
81,2,121
82,9,121
83,5,101
84,7,101
85,1,101
86,5,274
87,7,274
88,17,274
89,11,274
90,2,157336
91,7,157336
92,15,157336
93,17,290098
94,7,290098
95,14,290098
96,7,265177
97,3,508965
98,8,508965
99,2,508965
100,4,508965
101,14,398818
102,7,398818
103,2,299534
104,15,299534
105,1,299534
106,7,25237
107,18,25237
108,10,25237
109,2,105
110,4,105
111,15,105
112,8,105
113,7,28
114,18,28
115,7,490132
116,4,490132
117,7,517814
118,3,110420
119,7,110420
120,8,110420
121,9,110420
122,7,158445
123,4,158445
124,8,158445
125,7,531428
126,14,531428
127,7,670
128,17,670
129,13,670
130,1,670
131,2,299536
132,1,299536
133,15,299536
134,8,8587
135,3,8587
136,7,8587
137,7,77338
138,4,77338
139,7,406997
140,8,406997
141,3,354912
142,8,354912
143,4,354912
144,2,354912
145,9,354912
146,12,354912
147,2,11
148,1,11
149,15,11
150,5,103
151,7,103
152,13,77
153,17,77
154,7,16869
155,1,16869
156,17,16869
157,18,16869
158,2,458302
159,14,458302
160,8,458302
161,7,1124
162,13,1124
163,17,1124
164,7,437068
165,10,437068
166,1,437068
167,5,475557
168,17,475557
169,7,475557
170,1,98
171,7,98
172,2,98
173,3,10494
174,17,10494
175,5,500
176,17,500
177,7,1422
178,17,1422
179,5,1422
180,7,11324
181,17,11324
182,13,11324
183,7,857
184,10,857
185,18,857
186,13,411088
187,5,411088
188,17,411088
189,1,111
190,5,111
191,7,111
192,17,111
193,4,515001
194,18,515001
195,7,515001
196,3,568160
197,14,568160
198,9,568160
199,7,568160
200,1,603
201,15,603
202,3,339877
203,7,339877
204,13,339877
205,7,324786
206,10,324786
207,18,324786
208,5,359940
209,7,359940
210,3,378108
211,7,378108
212,10,378108
213,14,378108
214,18,378108
215,7,7345
216,3,149871
217,7,149871
218,9,149871
219,7,489
220,9,12445
221,2,12445
222,7,843
223,14,843
224,8,522518
225,2,522518
226,7,522518
227,11,348
228,15,348
229,7,68718
230,19,68718
231,9,8392
232,3,8392
233,8,8392
234,7,655
235,7,406
236,15,38
237,7,38
238,14,38
239,7,264644
240,17,264644
241,7,46738
242,18,46738
243,13,46738
244,7,582
245,17,582
246,3,476292
247,9,476292
248,14,476292
249,7,476292
250,5,11423
251,7,11423
252,17,11423
253,7,2517
254,7,103663
255,7,4348
256,14,4348
257,7,387
258,10,387
259,18,387
260,4,120467
261,7,120467
262,7,770
263,18,770
264,14,770
265,7,14
266,7,400928
267,8,400928
268,4,400928
269,10,205596
270,7,205596
271,17,205596
272,18,205596
273,7,424694
274,12,424694
275,4,18438
276,7,18438
277,14,18438
278,8,110416
279,3,110416
280,9,110416
281,7,11104
282,4,11104
283,14,11104
284,3,10681
285,8,10681
286,15,10681
287,7,381284
288,10,381284
289,1,280
290,17,280
291,15,280
292,5,146233
293,7,146233
294,17,146233
295,7,28178
296,8,28178
297,5,106646
298,7,106646
299,4,106646
300,5,524
301,2,673
302,9,673
303,7,10997
304,7,13223
305,7,491480
306,7,397567
307,9,397567
308,1,397567
309,7,627
310,5,627
311,17,609242
312,7,609242
313,5,609242
314,4,609242
315,2,10515
316,9,10515
317,3,10515
318,1,10515
319,8,10515
320,14,10515
321,2,334533
322,7,334533
323,7,316029
324,2,1892
325,1,1892
326,15,1892
327,7,1394
328,14,1394
329,7,331482
330,14,331482
331,3,315465
332,9,315465
333,1,315465
334,2,315465
335,7,315465
336,7,25538
337,14,25538
338,3,242828
339,7,242828
340,1,24
341,5,24
342,7,430424
343,5,430424
344,18,430424
345,7,60243
346,7,152532
347,10,152532
348,17,488623
349,13,488623
350,7,488623
351,7,76203
352,10,76203
353,7,359724
354,10,359724
355,7,20453
356,4,20453
357,3,862
358,2,862
359,8,862
360,4,862
361,7,70
362,4,369557
363,14,369557
364,7,369557
365,12,369557
366,1,11658
367,2,11658
368,7,11658
369,10,11658
370,18,11658
371,3,150540
372,8,150540
373,2,150540
374,7,150540
375,4,150540
376,5,5924
377,7,5924
378,7,640
379,5,640
380,15,78
381,7,78
382,17,78
383,19,33
384,13,745
385,17,745
386,7,745
387,18,530915
388,7,530915
389,7,94047
390,1,94047
391,10,94047
392,18,94047
393,7,505192
394,5,505192
395,3,293299
396,4,293299
397,7,293299
398,8,293299
399,1,11953
400,7,11953
401,10,11953
402,18,11953
403,3,14160
404,4,14160
405,8,14160
406,2,14160
407,5,379170
408,7,379170
409,13,379170
410,3,10674
411,8,10674
412,2,10674
413,1,118340
414,15,118340
415,2,118340
416,5,6977
417,7,6977
418,17,6977
419,5,16
420,7,16
421,4,194
422,14,194
423,7,266856
424,14,266856
425,1,752
426,17,752
427,9,752
428,4,381341
429,7,381341
430,2,81
431,3,81
432,9,81
433,2,85
434,1,85
435,7,423612
436,17,423612
437,14,423612
438,2,671
439,9,671
440,2,329
441,15,329
442,4,122906
443,7,122906
444,14,122906
445,9,122906
446,3,10386
447,8,10386
448,2,10386
449,1,10386
450,15,10386
451,4,10386
452,7,210577
453,13,210577
454,17,210577
455,14,11036
456,7,11036
457,1,679
458,17,679
459,15,679
460,7,336804
461,3,37797
462,7,37797
463,8,37797
464,3,508439
465,8,508439
466,2,508439
467,4,508439
468,9,508439
469,3,13398
470,7,13398
471,14,152601
472,15,152601
473,7,152601
474,4,313369
475,7,313369
476,14,313369
477,12,313369
478,5,235
479,7,235
480,2,399174
481,4,399174
482,3,399174
483,1,393
484,5,393
485,17,393
486,4,115
487,5,115
488,5,275
489,7,275
490,17,275
491,13,546554
492,4,546554
493,7,546554
494,5,546554
495,7,597
496,14,597
497,5,152742
498,7,152742
499,13,152742
500,14,152742
501,7,404378
502,7,16804
503,17,1018
504,7,1018
505,13,1018
506,7,453
507,14,453
508,7,234200
509,4,234200
510,9,9479
511,3,9479
512,8,9479
513,7,451945
514,7,826
515,10,826
516,18,826
517,7,613
518,10,613
519,18,613
520,4,200727
521,14,200727
522,7,265195
523,17,265195
524,4,265195
525,7,113
526,3,393559
527,7,393559
528,8,393559
529,7,314365
530,17,314365
531,10,314365
532,7,492188
533,11,805
534,7,805
535,13,805
536,7,296096
537,14,296096
538,7,1280
539,14,1280
540,5,1280
541,7,335578
542,10,335578
543,18,335578
544,3,16859
545,2,16859
546,7,16859
547,9,16859
548,8,16859
549,3,12
550,8,12
551,5,13855
552,7,13855
553,17,13855
554,5,553
555,7,553
556,17,553
557,9,141
558,7,141
559,13,141
560,9,14069
561,3,14069
562,7,14069
563,15,14069
564,7,556984
565,10,556984
566,17,556984
567,7,142
568,14,142
569,1,263115
570,7,263115
571,15,263115
572,2,674
573,9,674
574,8,674
575,2,665
576,10,665
577,7,665
578,3,585
579,4,585
580,8,585
581,2,89
582,1,89
583,5,534780
584,17,534780
585,4,534780
586,7,10775
587,1,10775
588,17,10775
589,5,10775
590,13,10775
591,4,466282
592,14,466282
593,5,107
594,4,107
595,3,10193
596,8,10193
597,4,10193
598,5,2118
599,17,2118
600,5,117
601,7,117
602,10,117
603,17,117
604,5,575452
605,7,575452
606,17,575452
607,5,30018
608,7,30018
609,13,30018
610,17,30018
611,2,587
612,9,587
613,7,587
614,2,12444
615,9,12444
616,4,11621
617,3,11621
618,2,11621
619,7,86837
620,14,86837
621,18,2440
622,7,2440
623,17,2440
624,1,2440
625,3,431693
626,1,431693
627,2,431693
628,4,431693
629,9,10191
630,2,10191
631,3,10191
632,8,10191
633,3,15916
634,7,15916
635,9,15916
636,13,15916
637,15,15916
638,3,4977
639,7,4977
640,13,4977
641,15,4977
642,17,4977
643,7,24657
644,7,277216
645,12,277216
646,2,177572
647,8,177572
648,3,177572
649,1,177572
650,4,177572
651,3,166428
652,8,166428
653,2,166428
654,3,149870
655,18,149870
656,10,149870
657,7,149870
658,14,149870
659,5,586863
660,7,586863
661,17,586863
662,17,49797
663,11,49797
664,1,503314
665,15,503314
666,3,503314
667,7,84892
668,4,455714
669,7,455714
670,5,455714
671,17,455714
672,3,269149
673,2,269149
674,8,269149
675,4,269149
676,7,110160
677,14,110160
678,1,49026
679,5,49026
680,7,49026
681,17,49026
682,1,396535
683,11,396535
684,17,396535
685,14,10020
686,8,10020
687,3,10020
688,9,10020
689,4,297222
690,7,297222
691,3,22843
692,15,22843
693,1,22843
694,7,22843
695,7,12405
696,14,12405
697,7,792
698,18,792
699,1,792
700,7,45269
701,10,45269
702,9,1417
703,7,1417
704,18,1417
705,5,273248
706,7,273248
707,13,273248
708,19,273248
709,7,8416
710,7,265169
711,7,426426
712,2,165
713,4,165
714,8,165
715,15,165
716,2,22
717,9,22
718,1,22
719,7,359784
720,14,359784
721,7,334
722,1,522627
723,5,522627
724,4,522627
725,7,374473
726,4,13403
727,12,13403
728,7,13403
729,3,2062
730,4,2062
731,8,2062
732,9,2062
733,2,672
734,9,672
735,1,221732
736,2,221732
737,7,221732
738,14,43949
739,7,43949
740,7,10229
741,14,10229
742,2,10315
743,3,10315
744,4,10315
745,8,10315
746,7,14756
747,1,14756
748,10,14756
749,1,513434
750,4,513434
751,11,513434
752,3,14836
753,8,14836
754,9,14836
755,1,562
756,17,562
757,1,96721
758,7,96721
759,3,12429
760,8,12429
761,1,10835
762,5,10835
763,7,10835
764,17,10835
765,7,18329
766,14,18329
767,4,211954
768,7,211954
769,2,767
770,9,767
771,4,37247
772,7,37247
773,7,8832
774,3,313297
775,2,313297
776,8,313297
777,7,11220
778,1,11220
779,14,11220
780,4,83666
781,7,83666
782,14,83666
783,15,13363
784,7,13363
785,1,9806
786,2,9806
787,3,9806
788,8,9806
789,9,82702
790,1,82702
791,2,82702
792,3,82702
793,4,82702
794,8,82702
795,4,99
796,7,99
797,1,51608
798,17,51608
799,5,51608
800,4,38251
801,14,38251
802,18,38251
803,2,675
804,9,675
805,13,675
806,15,24428
807,1,24428
808,2,24428
809,1,11299
810,3,11299
811,15,11299
812,5,398978
813,7,398978
814,10,398978
815,3,126319
816,4,126319
817,7,126319
818,8,126319
819,1,272
820,5,272
821,7,272
822,5,242582
823,7,242582
824,17,242582
825,1,100402
826,2,100402
827,15,100402
828,7,5528
829,11,9552
830,7,286217
831,2,286217
832,15,286217
833,3,560050
834,2,560050
835,8,560050
836,9,560050
837,3,531
838,4,531
839,8,531
840,7,1904
841,14,1904
842,10,1904
843,5,207703
844,4,207703
845,1,207703
846,2,207703
847,2,8358
848,7,8358
849,7,54186
850,17,54186
851,13,54186
852,7,4347
853,14,4347
854,1,180299
855,5,180299
856,17,180299
857,1,283995
858,2,283995
859,4,283995
860,15,283995
861,5,5910
862,7,5910
863,7,306819
864,17,484468
865,1,484468
866,2,333339
867,15,333339
868,3,9444
869,8,9444
870,7,824
871,14,824
872,12,824
873,15,871
874,2,871
875,7,871
876,1,871
877,3,808
878,8,808
879,4,808
880,9,808
881,2,808
882,7,244063
883,2,2493
884,4,2493
885,9,2493
886,14,2493
887,8,2493
888,3,812
889,8,812
890,2,812
891,9,812
892,14,812
893,5,483184
894,7,483184
895,17,483184
896,5,21575
897,7,21575
898,7,746
899,10,746
900,2,578
901,11,578
902,17,578
903,17,489999
904,13,489999
905,7,489999
906,7,64
907,14,64
908,7,177945
909,7,44214
910,17,44214
911,11,44214
912,7,10161
913,7,2013
914,9,51739
915,3,51739
916,8,51739
917,4,364137
918,7,364137
919,2,309809
920,3,309809
921,9,309809
922,8,309809
923,14,222935
924,7,222935
925,3,198375
926,7,198375
927,14,198375
928,7,26280
929,7,10637
930,1,1726
931,15,1726
932,2,1726
933,1,15137
934,3,15137
935,7,15137
936,15,15137
937,7,375572
938,7,17431
939,15,17431
940,7,14283
941,12,14283
942,13,14283
943,17,14283
944,14,14283
945,7,323272
946,14,323272
947,2,301528
948,3,301528
949,4,301528
950,8,301528
951,9,301528
952,7,301528
953,1,221731
954,2,221731
955,7,221731
956,3,586940
957,7,586940
958,9,586940
959,7,9693
960,1,9693
961,17,9693
962,15,9693
963,11,1933
964,7,1933
965,13,1933
966,17,1933
967,4,71
968,7,71
969,12,71
970,1,293660
971,2,293660
972,4,293660
973,9,364111
974,3,364111
975,7,364111
976,12,364111
977,14,364111
978,4,246741
979,11,246741
980,7,1913
981,7,551332
982,4,551332
983,10,551332
984,7,503919
985,9,503919
986,17,503919
987,11,503919
988,7,484751
989,7,2009
990,1,137113
991,15,137113
992,7,2649
993,17,2649
994,13,2649
995,15,63
996,17,63
997,13,63
998,1,218
999,17,218
1000,15,218
1001,7,264660
1002,15,264660
1003,2,57158
1004,9,57158
1005,1,57158
1006,3,38757
1007,8,38757
1008,7,26371
1009,14,26371
1010,2,277834
1011,4,277834
1012,8,277834
1013,3,277834
1014,7,483983
1015,10,483983
1016,17,483983
1017,4,4291
1018,7,4291
1019,8,4291
1020,7,71859
1021,17,71859
1022,5,3580
1023,7,3580
1024,13,3580
1025,1,416144
1026,7,416144
1027,10,416144
1028,17,416144
1029,7,375262
1030,10,375262
1031,4,375262
1032,13,419430
1033,17,419430
1034,11,419430
1035,5,487558
1036,7,487558
1037,10,487558
1038,4,487558
1039,1,109424
1040,7,109424
1041,17,109424
1042,11,11906
1043,1,284053
1044,2,284053
1045,4,284053
1046,9,284053
1047,3,271706
1048,2,271706
1049,9,271706
1050,7,64690
1051,17,64690
1052,5,64690
1053,3,83389
1054,7,83389
1055,7,4982
1056,5,4982
1057,3,863
1058,4,863
1059,8,863
1060,1,7500
1061,5,7500
1062,17,7500
1063,7,451657
1064,17,451657
1065,1,429617
1066,2,429617
1067,15,429617
1068,3,337703
1069,7,337703
1070,9,337703
1071,8,337703
1072,7,481848
1073,2,481848
1074,8,481848
1075,1,260513
1076,2,260513
1077,3,260513
1078,8,260513
1079,3,28874
1080,7,1786
1081,18,1786
1082,7,4922
1083,9,4922
1084,14,4922
1085,1,200085
1086,7,200085
1087,2,9340
1088,4,9340
1089,8,9340
