id,popularity,video,vote_count,vote_average,title,release_date,original_language,original_title,backdrop_path,adult,overview,poster_path
63,20.26,0,5576,7.6,12 몽키즈,1996-04-05,en,Twelve Monkeys,https://image.tmdb.org/t/p/w500/2W6RZJ9smKGfocFeHh9HURVXnWQ.jpg,0,"서기 2035년, 미래의 인류는 바이러스 감염으로 인해 99%가 멸망하고 소수의 생존자들은 지상에서의 생활을 포기한 채 지하 세계에서 생활하게 된다. 감옥에 수감되어 있는 제임스 콜(브루스 윌리스)은 과학자들의 사면 제의를 받고 바이러스가 퍼지게 된 1996년으로 보내진다. 그러나 착오로 인해 1990년으로 보내지고 그곳에서 정신 병원에 수감된다. 그는 곧 인류가 바이러스에 의해 멸망할 것이라고 설득하지만 아무도 그의 말을 믿으려 하지 않는데, 그의 담당의사인 캐서린 레일리(매들린 스토우) 박사는 그를 치료하면서 어디서 본 것 같은 느낌을 갖는다.",https://image.tmdb.org/t/p/w500/6bSEAb5YOeEKW0lbki7bFCv6Zdh.jpg
64,13.817,0,753,7.6,그녀에게,2003-04-18,es,Hable con ella,https://image.tmdb.org/t/p/w500/oJrOrkFd32Zau6HYZ4jJprqhzlc.jpg,0,"남자간호사 베니뇨는 발레 학원에서 춤추고 있는 알리샤를 보고, 그녀의 아름다운 모습에 사랑에 빠진다. 갑작스러운 교통사고로 알리샤가 코마 상태에 빠지게 되자, 베니뇨는 헌신적인 사랑으로 그녀 곁을 지킨다. 여행지 기자 마르코는 투우사 리디아를 인터뷰하기 위해 그녀를 찾아간다. 사랑의 상처를 지닌 마르코와 리디아는 서로에게 빠져들며 연인으로 발전하지만, 리디아가 투우 경기 도중 사고로 정신을 잃는다. 병원에서 만난 두 남자, 베니뇨와 마르코는 코마 상태에 빠진 그녀들을 보살피며 친구가 된다. 알리샤와 소통한다고 느끼며 끊임없이 말을 건네는 베니뇨와 달리, 마르코는 이제 리디아의 사랑을 느낄 수 없다는 사실에 절망한다. 결국 리디아를 떠난 마르코는 그녀의 사망 소식과 함께 베니뇨가 감옥에 수감된 소식을 전해 듣는데...",https://image.tmdb.org/t/p/w500/mjPyboA8RqWUYLm7qLpxhTywkqm.jpg
70,22.117,0,6471,7.9,밀리언 달러 베이비,2005-03-10,en,Million Dollar Baby,https://image.tmdb.org/t/p/w500/jruBJZOJCQAWWhJ20UbxPUpbXXT.jpg,0,"딸과의 관계가 소원해진 채 혼자 낡은 체육관을 운영하며 권투 선수들을 키우는 프랭키(클린트 이스트우드)에게 매기(힐러리 스웽크)가 찾아온다. 선수로 키워 달라는 말에 프랭키는 30살이 넘은 여자라는 이유로 매몰차게 거절하지만 매기는 계속 체육관에 와서 연습하길 멈추지 않는다. 선수 때 한쪽 눈을 잃고 지금은 프랭키 체육관의 청소부로 일하며 지내는 스크랩(모건 프리먼)이 조금씩 매기를 돕는다. 매기의 열의에 못이긴 척 프랭키는 트레이너가 되어 함께 경기에 나가며 점점 가까워진다. 항상 자신을 보호하라는 가르침 속에 훈련은 계속되고 마침내 챔피언 쟁탈전에 나가지만, 상대방 선수의 반칙으로 매기는 크게 다치게 되는데...",https://image.tmdb.org/t/p/w500/3dW7QHN9WhAxY8KcmIL6lwwIZCm.jpg
71,13.948,0,2696,7.6,빌리 엘리어트,2001-02-17,en,Billy Elliot,https://image.tmdb.org/t/p/w500/prOVafNMAiENqLnkAgekH4W6lq5.jpg,0,"영국 북부 탄광촌에 사는 11살 소년 빌리. 매일 복싱을 배우러 가는 체육관에서 우연히 발레 수업을 보게 된 그는 토슈즈를 신은 여학생들 뒤에서 동작을 따라한다. 그에게 재능을 발견한 발레 선생님 윌킨슨 부인은 빌리에게 특별 수업을 해주고 로얄발레학교의 오디션을 보라고 권유한다. 발레는 여자들이나 하는 거라며 반대하는 아버지 몰래 신나게 춤을 추던 어느 날, 빌리는 불쑥 체육관에 찾아온 아버지와 맞닥뜨리게 되는데...",https://image.tmdb.org/t/p/w500/im9hQmEX9me7vdTE1hHqT81Wjgo.jpg
73,28.766,0,8042,8.4,아메리칸 히스토리 X,1999-04-17,en,American History X,https://image.tmdb.org/t/p/w500/nOO83QWfbRxMdru0vtQ7jGNT5Bq.jpg,0,"3년 전 강도 사건으로 소방수였던 아버지를 잃은 데렉은 백인 우월주의자들의 모임인 DOC에 관심을 갖게 되면서 유색인종에게 그 분노와 증오를 터트린다. 그는 혐오스러운 유색인종들을 이 땅에서 몰아내야 한다고 주장하면서 강렬한 카리스마로 동료들 사이에서 영웅이 된다. 가족들은 그런 그의 모습을 걱정하여 만류하지만, 단 한 사람, 동생 대니만은 그를 전적으로 믿고 따른다. 어느 날, 데렉에게 적대감을 품은 흑인들이 아버지의 낡은 밴을 훔치러 왔을 때 그는 서슴없이 그들에게 총을 겨눈다. 그리고는 총을 맞고 신음하는 그를 참혹하게 죽이고 마는데...",https://image.tmdb.org/t/p/w500/nm4XkYBt79ZjUQj6Rqxxzl1Wt3c.jpg
77,25.674,0,10204,8.2,메멘토,2001-08-25,en,Memento,https://image.tmdb.org/t/p/w500/q2CtXYjp9IlnfBcPktNkBPsuAEO.jpg,0,"전직 보험 수사관이었던 레너드에게 기억이란 없다. 자신의 아내가 강간당하고 살해되던 날의 충격으로 기억을 10분 이상 지속시키지 못하는 단기 기억상실증 환자가 되었던 것이다. 그가 마지막으로 기억하고 있는 것은 자신의 이름이 레너드 셸비 라는 것과 아내가 강간당하고 살해당했다는 것, 그리고 범인은 존 G 라는 것이 전부. 레너드는 자신의 가정을 파탄 낸 범인을 찾기 위한 방법으로 메모와 문신을 사용하게 된다. 하지만 진실에 다가갈수록 자신의 기억, 주위 사람들에 대한 의심이 갈수록 커져만 가는데...",https://image.tmdb.org/t/p/w500/vqxdADPdy0ZVJr8dMB3mh6C5Vsv.jpg
78,31.609,0,9711,7.9,블레이드 러너,1993-05-08,en,Blade Runner,https://image.tmdb.org/t/p/w500/eIi3klFf7mp3oL5EEF4mLIDs26r.jpg,0,"2019년, 지구의 파괴와 엄청난 인구증가로 인해 다른 행성을 식민지 이주가 본격화된다. 2주전 6명의 복제 인간 리플리컨트가 식민행성에서 탈출, 23명을 죽이고 우주선을 탈취하여 지구로 잠입한다. 전투용 로이 베티와 리온, 살인 훈련을 받은 조라, 식민행성 군인 클럽 소속의 위안부 프리스가 그들이다. 이들은 타이렐사에 침입하려 하지만 한 사람이 죽고, 직원으로 위장한 리온이 회사 간부의 테스트에 발각되어 도주한다. 이에 경찰은 복제 인간을 구별할 능력을 지닌 블레이드 러너 데커드를 호출하는데...",https://image.tmdb.org/t/p/w500/8MBJhl1qTTAhAsoyxS7mnP70Pn7.jpg
81,26.624,0,2129,7.9,바람계곡의 나우시카,2000-12-30,ja,風の谷のナウシカ,https://image.tmdb.org/t/p/w500/ulVUa2MvnJAjAeRt7h23FFJVRKH.jpg,0,"천 년 전, 불의 7일간으로 불리는 전쟁이 끝난 후 지구는 죽음의 행성으로 변했다. 점점 커지는 곰팡이의 숲인 부해가 유독가스를 내뿜어 사람이 살 수 있는 땅도 얼마 남지 않았다. 자연과 대화를 나눌 수 있는 특별한 소녀 나우시카는 그 중 깨끗한 바람계곡에서 살고 있지만 부해는 이곳마저 먹어치울 듯 가깝게 다가온다. 그러나 위기는 인간들의 다툼에서 시작된다. 군사제국 토르메키아가 불의 7일간을 초래했던 병기 거신병을 부활시키려는 계획을 시작했기 때문. 바람계곡은 분쟁에 휘말리고 나우시카는 토르메키아와 맞서는 도시 국가 페지테의 인질이 된다. 그 와중에 나우시카는 부해가 지구를 정화하고 있었다는 사실을 깨닫는데...",https://image.tmdb.org/t/p/w500/jnw5Ab8104n4rTkTootpfZKYPiZ.jpg
85,32.77,0,8505,7.9,인디아나 존스 : 레이더스,1982-02-27,en,Raiders of the Lost Ark,https://image.tmdb.org/t/p/w500/kCiMExsYuNhYluHxPP2OTmWw7hp.jpg,0,"1936년 남아메리카. 인디아나 존스(해리슨 포드) 박사는 험난한 밀림 지대를 헤치고 독거미와 온갖 부비트랩을 뚫고서 고대 문명의 동굴에 보관된 보물을 손에 넣는데 성공하지만, 마지막 순간 악덕 고고학자 벨로크(폴 프리먼)에게 빼앗기고 만다.  대학으로 돌아온 인디에게 정보국 사람들이 찾아온다. 정부로부터 성서에 나오는 성궤를 찾으라는 명령을 받는은 인디는 단서를 하나하나 찾아가며 성궤의 행방을 추적해 나간다. 그런데 나치군들도 역시 전쟁에 가지고 나가기만 하면 모든 전쟁에서 승리를 거둘 수 있는 무서운 힘을 지닌 성궤를 찾아나서는데...",https://image.tmdb.org/t/p/w500/ceG9VzoRAVGwivFU403Wc3AHRys.jpg
89,29.137,0,6848,7.8,인디아나 존스: 최후의 성전,1989-07-22,en,Indiana Jones and the Last Crusade,https://image.tmdb.org/t/p/w500/diTtDL61hIwozEGBwEsw7uA7qN9.jpg,0,자신이 재직 중인 바네트 대학으로 돌아온 인디(해리슨 포드)는 몇 달만을 비워뒀던 대학 연구실에서 오래 전에 도착한 아버지의 일기장을 발견한다.  고고학에 관심 많은 학생들을 피해 겨우 창문으로 빠져나온 존슨 박사는 윌터 도노반(줄리안 글로버 분)이라는 사람을 만난다. 도노반은 자신이 앙카라 북쪽에서 발견한 반쪽짜리 신의 석판의 탁본을 보여주며 헨리 박사의 일기장을 참고로 나머지 반쪽 석판과 예수가 최후의 만찬 때 사용했다는 술잔 성배를 찾아 달라고 부탁한다. 인디아나 존스는 아버지 헨리 존스 박사가 나치에게 납치 되었다는 소식을 듣고 베니스로 달려가는데...,https://image.tmdb.org/t/p/w500/sizg1AU8f8JDZX4QIgE4pjUMBvx.jpg
